file,N_Models,Calls,CPU_Time,Solving,First_Model,Unsat,Cars,Three_Cell_Car,Two_Cell_Car,Moves,Empty_Cells,Occupied_Cells
"input_advance_11.asp",10,18,0.262,0.07,0.03,0.03,15,4,11,17,2,34
"input_advance_12.asp",10,12,0.279,0.17,0.01,0.1,11,3,8,11,11,25
"input_advance_13.asp",4,5,0.032,0,0,0,10,2,8,4,14,22
"input_advance_14.asp",1,7,0.06,0.01,0,0.01,10,2,8,6,14,22
"input_advance_15.asp",10,15,0.52,0.38,0.13,0.25,10,3,7,14,13,23
"input_advance_16.asp",6,5,0.032,0,0,0,12,2,10,4,10,26
"input_advance_17.asp",4,4,0.025,0,0,0,10,2,8,3,14,22
"input_advance_18.asp",2,8,0.068,0,0,0,12,0,12,7,12,24
"input_advance_19.asp",10,23,7.495,7.18,1.57,5.61,13,3,10,22,7,29
"input_advance_20.asp",4,8,0.059,0,0,0,10,3,7,7,13,23
"input_advance_21.asp",10,11,0.31,0.21,0.12,0.08,10,2,8,10,14,22
"input_advance_22.asp",2,4,0.025,0,0,0,10,2,8,3,14,22
"input_advance_23.asp",10,9,0.081,0.01,0,0,10,2,8,8,14,22
"input_advance_24.asp",10,17,2.337,2.13,0.54,1.59,11,1,10,16,13,23
"input_advance_25.asp",10,10,0.172,0.08,0,0.03,11,2,9,9,12,24
"input_advance_26.asp",1,3,0.017,0,0,0,13,1,12,2,9,27
"input_advance_27.asp",10,12,0.152,0.05,0.01,0.03,10,2,8,11,14,22
"input_advance_28.asp",8,6,0.041,0,0,0,10,4,6,5,12,24
"input_advance_29.asp",10,14,0.495,0.35,0.1,0.25,12,4,8,13,8,28
"input_advance_30.asp",8,12,0.181,0.07,0.02,0.04,10,1,9,11,15,21
"input_advance_31.asp",10,31,3.882,3.37,0.3,3.07,14,2,12,30,6,30
"input_beginner_2.asp",10,17,0.301,0.16,0.02,0.14,6,3,3,16,21,15
"input_beginner_3.asp",10,17,1.564,1.38,0.39,0.98,10,1,9,16,15,21
"input_beginner_4.asp",10,16,0.858,0.68,0.19,0.48,10,2,8,15,14,22
"input_beginner_5.asp",10,16,0.628,0.46,0.22,0.23,10,4,6,15,12,24
"input_beginner_6.asp",10,16,0.369,0.2,0.04,0.16,10,3,7,15,13,23
"input_beginner_7.asp",10,16,0.604,0.44,0.08,0.36,10,3,7,15,13,23
"input_beginner_8.asp",10,16,0.856,0.69,0.11,0.58,10,2,8,15,14,22
"input_beginner_9.asp",10,16,3.893,3.72,0.41,3.31,10,1,9,15,15,21
"input_beginner_10.asp",8,16,0.226,0.06,0.02,0.03,11,2,9,15,12,24
"input_expert_12.asp",10,43,95.153,94.82,13.79,81.02,13,3,10,42,7,29
"input_expert_13.asp",10,8,0.082,0.02,0.01,0.01,12,2,10,7,10,26
"input_expert_14.asp",10,15,0.389,0.24,0.04,0.2,12,0,12,14,12,24
"input_expert_15.asp",10,37,49.145,48.86,7.83,40.91,11,3,8,36,11,25
"input_expert_16.asp",10,31,21.058,20.53,2.47,18.06,11,2,9,30,12,24
"input_expert_17.asp",10,32,125.241,124.68,24.36,100.32,11,3,8,31,11,25
"input_expert_18.asp",6,8,0.057,0,0,0,13,3,10,7,7,29
"input_expert_19.asp",10,38,295.377,295.09,33.64,261.44,13,1,12,37,9,27
"input_expert_20.asp",10,32,154.967,154.63,11.97,142.64,11,2,9,31,12,24
"input_expert_21.asp",10,20,0.475,0.25,0.06,0.19,10,4,6,19,12,24
"input_expert_22.asp",10,12,0.152,0.05,0.02,0.02,13,4,9,11,6,30
"input_expert_23.asp",10,32,12.3,11.88,1.58,10.28,12,3,9,31,9,27
"input_expert_24.asp",10,24,4.002,3.68,0.53,3.14,12,2,10,23,10,26
"input_expert_25.asp",10,34,62.245,62.16,2.83,59.32,13,2,11,33,8,28
"input_expert_26.asp",10,7,0.067,0.02,0.01,0.01,12,1,11,6,11,25
"input_expert_27.asp",10,36,714.147,723.39,178.39,545,13,2,11,35,8,28
"input_expert_28.asp",10,11,0.116,0.02,0.01,0.01,13,2,11,10,8,28
"input_expert_29.asp",10,33,5.382,4.86,0.38,4.47,12,4,8,32,8,28
"input_expert_30.asp",10,30,370.662,373.3,107.2,266.1,12,2,10,29,10,26
"input_expert_31.asp",10,22,1.767,1.5,0.28,1.21,12,3,9,21,9,27
